"Target","Repository","AverageResult"
"arm","mips",0.668604651162791
"arm","x86",0.581395348837209
"mips","x86",0.540697674418605
"32","64",0.768115942028985
"clang-4","clang-7",0.960526315789474
"gcc","clang",0.46875
"gcc-4","gcc-8",0.776315789473684
"O0","O1",0.656976744186046
"O0","O2",0.284883720930233
"O0","O3",0.226744186046512
"O1","O2",0.604651162790698
"O1","O3",0.383720930232558
"O2","O3",0.77906976744186
