Epoch,Avg Train Loss,Avg Validation Loss
1,0.09661744771983219,0.18884908379132045
2,0.09418231328007001,0.13693928558397409
3,0.0932933218148592,0.11611755718679531
4,0.0926145166989821,0.1270012760867819
5,0.09042130791786926,0.1166907829111037
6,0.09143567810068458,0.15001903927844504
7,0.08679880551557909,0.11080647543396639
8,0.08546546751954735,0.1295472394477054
9,0.08333452702824679,0.12437744753588224
10,0.08213633735224948,0.10569089847270417
11,0.08187171842145512,0.10763081908226013
12,0.08021495569316807,0.08770627498734689
13,0.07762930151234748,0.11031384210907606
14,0.07719352299206611,0.09823543590084079
15,0.07526476615016078,0.10563391175319031
16,0.0733750254057797,0.08991495622456938
17,0.07337209530107029,0.1087152344233172
18,0.07350858261458681,0.09825897641515963
19,0.07213301617439162,0.08690749376040438
20,0.07056768324906469,0.09094219434340507
21,0.06968433195235203,0.09062417449006711
22,0.06908093552445292,0.12258200802736813
23,0.06985243161808342,0.08443319804714498
24,0.0687592164257593,0.09459212995111799
25,0.06841577324742698,0.08507896321803188
26,0.06734949998072091,0.0967570552557419
27,0.06864882231058099,0.08501302098162508
28,0.06477653714935526,0.11472339355859204
29,0.06567489686223896,0.08544623134612749
30,0.06451151580079162,0.06629355296330608
31,0.06326387252540401,0.0688606833877123
32,0.06331171061808957,0.08448776698576799
33,0.06307590824230432,0.07430283215508801
34,0.06329796635369654,0.07058547060162837
35,0.062115554875737146,0.08577666350680849
36,0.06347453972268585,0.0775082517001364
37,0.06206440362979132,0.07901151825174474
38,0.06288592046898422,0.0773203566643423
39,0.060556114944777986,0.09055614180790918
40,0.061169703881284905,0.08724209367509049
41,0.061354108588647836,0.10211950473055459
42,0.059214375382669084,0.09471306647511496
43,0.06091651407080916,0.09639126562697876
44,0.05939855766252848,0.07526127123926285
45,0.05897427143934447,0.06753257139257475
46,0.05951158758530825,0.08909672802845062
47,0.059070137475469166,0.09149573610618639
48,0.057367194364129195,0.0735580389306921
49,0.05777011145737152,0.07377659336434327
50,0.05740666777309995,0.07211176631297322
51,0.056640307316622625,0.07289707488357877
52,0.05539094707744205,0.06552279593899918
53,0.055747487526466785,0.07412913013789532
54,0.05495045637000731,0.07477373970393542
55,0.055612741377094294,0.07273346751676378
56,0.05511020925345976,0.08168228770547731
57,0.055048096562151184,0.07965973049744172
58,0.05385148966061304,0.07915137081006587
59,0.05436854778863842,0.08318276064029494
60,0.05409992216567065,0.06804905240401482
61,0.054391975162317426,0.0691932341925224
62,0.05557204550262882,0.07179375090028929
63,0.053519078788452676,0.07131071317635009
64,0.053174502926123995,0.06566834041133415
65,0.054985549860830964,0.06192864385964394
66,0.053770945582486004,0.0669931866215083
67,0.05456968160576229,0.06267940378770376
68,0.054335349423836436,0.08862781728019462
69,0.053543847051284545,0.08577786174553316
70,0.05384715225249771,0.06805491590521474
71,0.05393962861963737,0.0638666217966716
72,0.053885059757323286,0.07053690883083548
73,0.053399759999489586,0.058455875605695706
74,0.052943204192515685,0.08328193617795689
75,0.05372695788195088,0.0813169379759094
76,0.05414897943828304,0.08196174375856845
77,0.054154951649045914,0.07261312339940797
78,0.05260902081107628,0.08936811501277242
79,0.053254111025957986,0.06647930389207199
80,0.052497101349763826,0.06553697644210991
81,0.05339631574953869,0.06513624152186628
82,0.053772304032119564,0.07000902985506084
83,0.05321339673422049,0.07102303829826954
84,0.052556645177716466,0.0695639297057951
85,0.05352555550835423,0.07895357586479418
86,0.05302996976138973,0.06262758849998531
87,0.05400942539948701,0.058881421564461814
88,0.05314095267402911,0.06631764484870872
89,0.054152907815351245,0.0605383248153876
90,0.05314958188421342,0.06413284167962302
91,0.05393520721800495,0.08261758695550012
