Epoch,Avg Train Loss,Avg Validation Loss
1,0.09946638713843997,0.6939127592072971
2,0.09600642552471612,0.6803291402577202
3,0.09753939594597892,0.6694861448905318
4,0.09565459071585895,0.6898403746494348
5,0.09797883285517776,0.6833880393977326
6,0.09732850176231587,0.5932359986259166
7,0.09764387441719784,0.6295086493814624
8,0.09802242751997273,0.6551010542445712
9,0.09753389574750272,0.5956955793975056
10,0.09590260669628674,0.602075386594459
11,0.09652872888996633,0.5571920891890779
12,0.09490559748968387,0.6390389244337589
13,0.09487385267829941,0.5876421089045667
14,0.09543755497611689,0.5995426100233326
15,0.09521629147883284,0.4256317318925535
16,0.09798118264698391,0.5635622531031641
17,0.09548909260052527,0.5007990254584141
18,0.09381279272817727,0.48001485947825484
19,0.0960053339276912,0.4796792756820071
20,0.0959087829369761,0.42702190110072996
21,0.09466725152346964,0.3506034026687272
22,0.09496271939085131,0.429716091801003
23,0.09562502501325475,0.4783181278889882
24,0.09435824954212944,0.45984928950595394
25,0.09340948839539807,0.3919691651483665
26,0.09303397235370309,0.4514199433407346
27,0.09353671279839343,0.4172214963585858
28,0.0953171226354514,0.41579362490902777
29,0.09405862954258037,0.41016973965409875
30,0.09445543070191663,0.37427005848446904
31,0.09202864667154126,0.4034072452985146
32,0.093802561365887,0.38306500125622406
33,0.0931667377126467,0.3959191311960635
34,0.09252753730502253,0.4596590925242014
35,0.09403631535587705,0.35610177587483816
36,0.09156277916893962,0.4240469513595968
37,0.09243903773722302,0.42478212483839134
38,0.09121744857823595,0.4390485460919458
39,0.0921866393881469,0.455734951628579
40,0.09319947019822666,0.4318956138143217
41,0.09363492898726682,0.3930801459844562
42,0.09161322604398074,0.38940008582124386
43,0.09146500384571564,0.3192819869460691
44,0.09095561079214158,0.3764479299962233
45,0.09029936404176603,0.36767441811768903
46,0.09166727498631669,0.2546328876329505
47,0.09134264640349357,0.360850197105592
48,0.08991502390582176,0.3987324969204152
49,0.08973375518077513,0.26927570307600324
50,0.09044717858329715,0.3551663634713721
51,0.08967109838331087,0.3348342407728739
52,0.08947640694083368,0.28799453269744263
53,0.09149943946378557,0.4073159516145642
54,0.09034229153282852,0.3317082856876263
55,0.09200514493241518,0.4411054417706918
56,0.0897209408591737,0.3595483713391898
57,0.0896729839906255,0.39506825660737815
58,0.09030308841835558,0.3672665310078773
59,0.08986608272673778,0.354827582044302
60,0.09093855585777431,0.31814358084674044
61,0.08781672503587835,0.3473828199548998
62,0.09029200823369918,0.2903136559874539
63,0.08852009759967086,0.41243398621462396
64,0.08815312496525177,0.34557193676054765
65,0.08932991818047127,0.2936266833457394
66,0.08959401147572178,0.394344552271608
67,0.09024146455285045,0.30584732720241453
68,0.08950502087194781,0.3271193357481473
69,0.08773126558953319,0.39091010413308075
70,0.08755885442139814,0.2750740541496139
71,0.08847622571724421,0.3415890007779218
72,0.0890703733391778,0.3748326850110206
73,0.0887261016567372,0.3783127823889543
74,0.0889514616336101,0.41131438725236535
75,0.0880513326391516,0.31203458044264054
76,0.0900984787845645,0.35480453333129053
77,0.0898390706401785,0.27562641629562284
78,0.08915152297031584,0.28502062510177134
79,0.09037133346996479,0.39828417655350506
80,0.08776796773355675,0.3893815232935735
81,0.08804710859479052,0.33414327385632886
82,0.09093932498050479,0.36681058311807935
83,0.08905224210690557,0.2744822967167638
84,0.09056558804674598,0.2583138193341269
85,0.08932833892214014,0.36304533762344415
86,0.08700775673082341,0.37252071543016296
87,0.08908079814795519,0.33104619427003723
88,0.0868891226683675,0.33251991335320585
89,0.0894485762718202,0.37587136325340914
90,0.08813203148759602,0.39602992701645634
91,0.08903852628266558,0.2547515051232444
92,0.08903625968130345,0.3118173306546925
93,0.08810657115177588,0.38060293854146765
94,0.08906905442403616,0.311556449258961
95,0.08945118860990012,0.33816001546267727
96,0.08966035352431978,0.30902725904460115
97,0.08903819412250627,0.3040706929233339
98,0.08816697250668568,0.42279688344485516
99,0.08857748786154826,0.35826506346896075
100,0.08864185892388965,0.3246967572952814
101,0.08827904705178372,0.2983411094128798
102,0.08830178844749081,0.308440737678233
103,0.08868642796566335,0.33688311595559695
104,0.08807824679978421,0.30960854707996627
105,0.08727267757828741,0.292540924920552
106,0.08884770344683006,0.27252767555379637
107,0.08747430255715834,0.2918961304397399
108,0.08826831073101707,0.35366574728834455
109,0.08930731341727166,0.33790884055377207
