"Target","Repository","AverageResult"
"arm","mips",0.790697674418605
"arm","x86",0.75
"mips","x86",0.697674418604651
"32","64",0.814492753623188
"clang-4","clang-7",0.973684210526316
"gcc","clang",0.638020833333333
"gcc-4","gcc-8",0.842105263157895
"O0","O1",0.808139534883721
"O0","O2",0.406976744186047
"O0","O3",0.308139534883721
"O1","O2",0.697674418604651
"O1","O3",0.523255813953488
"O2","O3",0.883720930232558
