Epoch,Avg Train Loss,Avg Validation Loss
1,0.9498374706253092,0.9506340579710145
2,0.9498190012524877,0.9509359903381642
3,0.9494680852825196,0.9522946859903382
4,0.948766253095992,0.9477657004830918
5,0.9480090130375914,0.9483695652173914
6,0.9497266549872451,0.9476147342995169
7,0.9506870568080433,0.9513888888888888
8,0.9521461289825169,0.9568236717855297
9,0.9507239953423223,0.9470108695652174
10,0.9511487884865303,0.9442934782608695
11,0.9500591017605283,0.9503321258918099
12,0.9515735817364204,0.9559178743961353
13,0.9485261526231789,0.947463768115942
14,0.9497635935567513,0.9485205314009661
15,0.9522384753182143,0.9497282608695652
16,0.9495973701172686,0.9494263287903606
17,0.9508532802475259,0.9506340582589596
18,0.9485630911574577,0.9482185993217616
19,0.947547281535241,0.9485205316889114
20,0.9495234929430287,0.9541062804811818
21,0.9507978724461075,0.9509359903381642
22,0.9492095154368849,0.9530495169082126
23,0.9499482861576914,0.9459541062801933
24,0.949338799214814,0.947765554782849
25,0.37061069473782754,0.275706654585502
26,0.1977922409160798,0.19098521985005643
27,0.16891089348391086,0.17107520788764033
28,0.15218799595058352,0.15980388556161654
29,0.14435234039594766,0.1674975644491145
30,0.13849260456624482,0.15888678452566915
31,0.13445680468793447,0.14825029995130456
32,0.13043564860323711,0.15162704372103664
33,0.12616210401082414,0.14816312420357397
34,0.12467132316050218,0.14134657018534516
35,0.12162237411836078,0.13450783318367557
36,0.12097300097057882,0.13173459318201036
37,0.11869025964897575,0.13430025222641528
38,0.11678011434914513,0.12929625727308258
39,0.11329288122268398,0.12697176927709636
40,0.11304035297695142,0.1351571498789649
41,0.11008624377854204,0.13431994913928752
42,0.10966895922113554,0.12419693603895712
43,0.10897734241690002,0.12647898747149297
44,0.10443051126025987,0.11870296838454866
45,0.10390621084768334,0.12095957810446116
46,0.1050502523795281,0.122145084205313
47,0.10405554656290512,0.12800079179198845
48,0.10184376365031791,0.10973924360629442
49,0.10042034188421976,0.12022855715007309
50,0.10070035791125845,0.11273549238876732
51,0.09733108013939062,0.11073975938097866
52,0.09822972476136724,0.11513333621880283
53,0.09656256731009512,0.11173088854889651
54,0.09651755186207328,0.11226721913981193
55,0.09566097396624607,0.11802969540914764
56,0.09754665367620123,0.1113996290318344
57,0.09725676557317764,0.11598539575574479
58,0.0966597300184666,0.11607395730696726
59,0.09724793776739873,0.10503879609711217
60,0.09567312949505496,0.11530974968044078
61,0.09610542680145666,0.11067741747117704
62,0.09812937626817723,0.11408891985957749
63,0.09846906532064503,0.11242286850594813
64,0.09558480153747573,0.1171363957118297
65,0.09473683052788759,0.1082716558650496
66,0.09644227383887267,0.11596029912288063
67,0.09358963427044689,0.10616424519586679
68,0.09635575146999995,0.11308582450132727
69,0.09376363016045201,0.10879574143800183
70,0.09541291683630458,0.11094251560308219
71,0.0966734912262428,0.11133629062937365
72,0.09631361467111525,0.11592844722045649
73,0.09419924118756988,0.10948419951550338
74,0.09761238412933763,0.11176093906200163
75,0.09562974618557933,0.11136734482026907
76,0.09424186102981541,0.1108172029202831
77,0.09390346348411173,0.1130580206082207
78,0.09269774229877824,0.11174755290618553
79,0.09414052668778362,0.1111208178318929
80,0.09649460825955729,0.10807199053610293
81,0.0951568066148279,0.11445314319273411
82,0.09436105835266922,0.11378696907293681
83,0.09469784654007594,0.10440177517011762
84,0.09554742141428621,0.10649556618021883
85,0.09260624020259131,0.10862723666868636
86,0.09536857435925056,0.10962628542810031
87,0.09249634361725706,0.10776206226974437
88,0.09410107457772532,0.10993043256806578
89,0.09389540741972,0.11175748355830638
90,0.0953849085809467,0.10497034660086108
91,0.0941955537299117,0.10466340830288648
92,0.09315344838047925,0.11369919988376219
93,0.09341986330631179,0.1076592041026567
94,0.09263651340541564,0.11325067837817082
95,0.09405339345923266,0.10848175748678797
96,0.09308321375001319,0.10830696929552129
97,0.09314185702178658,0.11256592633913537
98,0.09443056163676392,0.10772911019416319
99,0.09401598009059313,0.11163474604091495
100,0.0934766750979781,0.10761389583979108
101,0.09281180530866877,0.10825797143405762
102,0.09173541470318229,0.10964825406562591
103,0.0929327671585085,0.10898467747197635
104,0.09343166784113648,0.10910224550570123
105,0.09197654491912433,0.10720367212262419
106,0.09318306385847712,0.10825659757579006
107,0.09244015251190553,0.10787632224568422
108,0.09296746701784071,0.10910273705955577
109,0.09288815637227824,0.10669647247175088
110,0.09225925080143532,0.10908324699758908
111,0.09182978366434477,0.11005780558835193
112,0.0919244203429744,0.10801687896935548
113,0.09069326111170833,0.10814060178103942
114,0.09216822437701491,0.10952676385461133
115,0.09101794387685051,0.1107384577969422
116,0.091690216300157,0.10954610890020496
117,0.09207718033782794,0.1031855729719003
118,0.09154974549802915,0.10618432809639236
119,0.09213375458306683,0.10303614226480325
120,0.09051779367403406,0.10361315727971745
121,0.09237684032438878,0.11169435205342977
122,0.09268794490831374,0.10282710806021224
123,0.09227553786543126,0.10595423872200187
124,0.09286449162865247,0.10624575841686
125,0.09276534539969951,0.10705915192403079
126,0.09181472572473805,0.10884792712215641
127,0.0914931933554638,0.10458550897341419
128,0.09242722403063235,0.1049010754081506
129,0.09310171823980547,0.11095816670840489
130,0.0933304079486295,0.10436659722908395
131,0.09201777500461514,0.10672200101333251
132,0.09185599655985731,0.10690271125989403
133,0.0920088974605964,0.11082683848262122
134,0.09399184578480353,0.1081872994883283
135,0.09338509523745706,0.1042961971429379
136,0.09236936437419614,0.10696760506553639
137,0.09146939920430483,0.11059997201523775
138,0.0930945946748014,0.11310835081211107
139,0.093319925648572,0.10931940080714975
140,0.09192936869477689,0.10763243258062408
141,0.09278072807145246,0.11125717103787235
142,0.09310247577219347,0.10817896008743468
143,0.09246310101377274,0.11092086043658751
144,0.09239454517955892,0.10436897525104924
145,0.09271887630313948,0.10902931729268625
146,0.09136686649598841,0.113479593048853
147,0.0920986839246454,0.10773721460594936
148,0.0931858237232544,0.11017615263516777
149,0.09237217921136172,0.10553466855291871
150,0.0899386862397467,0.10787844224630491
151,0.0928024774176194,0.1056660867255667
152,0.09215735979408497,0.0990701529201894
153,0.09314074503598034,0.10874972119027577
154,0.09389887157765417,0.10804459272663375
155,0.09248913270498386,0.10591639568894237
156,0.09245197639644287,0.10803355705802856
157,0.09320514389681443,0.10795419467928041
158,0.09087508672712939,0.1105169528906328
159,0.09145335085006391,0.10848637187970434
160,0.09146620040725317,0.10569871562321621
161,0.09069798372649582,0.10230664809004984
162,0.09307370859145431,0.10591928383722397
163,0.09270048074960383,0.10946363764972503
164,0.0922031128620393,0.10533701648692721
165,0.09101143234764968,0.11105078343607953
166,0.09084550358795937,0.10428330183911007
167,0.093661241671764,0.1058376278674257
168,0.09256561863319794,0.10961185464104592
169,0.094026022419514,0.10809108693206655
170,0.09285506985882896,0.1089668220385981
171,0.0917358728102023,0.10674224152333206
172,0.09142228735880001,0.10499035086536752
173,0.09278290827104152,0.10602282120841713
174,0.09153063130500588,0.10823949290538468
175,0.0909628539348085,0.1002602436678745
176,0.09282680677418459,0.10315581397625848
177,0.0904603574640543,0.10734192035408412
178,0.0933847681731514,0.10284216374446804
179,0.09336905958057061,0.11253710954049648
180,0.09243598200510703,0.10535761595204257
181,0.09200201524904848,0.10904724108604129
182,0.09298706661533326,0.11115274863578559
183,0.09127831591973544,0.10658487514705185
184,0.09192303166601996,0.11361786972389416
185,0.09066431881115722,0.10631320136936678
186,0.09264047534797279,0.1094421597674561
187,0.09185076910720578,0.10595229562767894
188,0.09033433919490137,0.10464552950995844
189,0.09396097825059335,0.10663664942058389
190,0.09335473958354985,0.1089975910468234
191,0.09198158834818707,0.10731307055873139
192,0.09384416418874429,0.10876089565293945
193,0.09243816124340966,0.10371156125486905
194,0.08989778591813101,0.10828569350575191
195,0.09161007189110415,0.1122483086866745
196,0.09405803875078449,0.10835037089812295
197,0.09184611260494274,0.1069278478451469
198,0.09316154597596822,0.10577701047458798
199,0.09309970799433927,0.10789401602485905
200,0.09139594195375382,0.10823461094844168
